twi_query,intent,twi_response,english_translation,source
Cholera nsenkyerɛne ne sɛn?,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Ɛdeɛn na ɛkyerɛ sɛ mewɔ cholera?,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Ayamtuo ne afeɛ kyerɛ sɛ mewɔ cholera?,symptoms_query,"Aane, ayamtuo kɛseɛ a ɛte sɛ nsubɛn nsuo ne afeɛ a ɛnto mpa yɛ cholera nsenkyerɛne titiriw.","Yes, severe diarrhea that looks like rice-water and frequent vomiting are primary symptoms of cholera.",Ghana Ministry of Health
"M'anofafa awo na merefe, ɛyɛ cholera?",symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
Yɛnya cholera a dɛn nsenkyerɛne na ɛda adi?,symptoms_query,"Nsenkyerɛne titiriw ne ayamtuo pii, afeɛ bebree, nipadua no mu mmerɛyɛ, ne nsuo a ɛsa wo ho ntɛm ara.","The key symptoms are severe diarrhea, frequent vomiting, body weakness, and rapid loss of fluids (dehydration).",CDC
Ayamtuo a ɛte sɛ nsubɛn nsuo yɛ cholera?,symptoms_query,"Aane, ayamtuo a ɛte sɛ nsubɛn nsuo (rice-water stools) ne cholera nsenkyerɛne kɛseɛ a ɛda adi paa.","Yes, watery diarrhea resembling rice-water is the classic and most definitive symptom of cholera.",Ghana Ministry of Health
Sɛn na cholera yareɛ yi kɔ obi ho?,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Cholera firi he na ɛba?,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Aduane anaa nsuo de cholera ba?,transmission_query,"Aane, nsuo a ɛfi ne aduane a yɛankata so yie na mfifiseɛ dii so de cholera mmoawa gu mu na ɛde yareɛ no ba.","Yes, contaminated water and uncovered food where flies have landed are the main carriers of cholera.",Ghana Ministry of Health
Nfifiseɛ betumi de cholera aba?,transmission_query,"Aane, nfifiseɛ betumi de efi afiri asuogya akɔgu yɛn aduane so na eyi betumi ama yɛanya cholera yareɛ.","Yes, flies can carry contamination from toilets to our food, which can cause cholera.",WHO
Sɛn na cholera tare obi?,transmission_query,"Sɛ wo ne obi a ɔwɔ cholera bom di aduane a wankata so, anaa sɛ wonom nsuo a efi firi dɔteɛ mu a, wobɛtumi anya cholera.","If you eat contaminated food or drink dirty water, you can contract cholera.",CDC
