twi_query,intent,twi_response,english_translation,source
Cholera nsenkyerɛne ne sɛn?,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Cholera nsenkyerene ne sen?,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
hColera nsenkyerɛne ne sɛn?,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Cholera nsenkyerɛne ne sɛn wo nim?,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
Ɛdeɛn na ɛkyerɛ sɛ mewɔ cholera?,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Edeen na ekyere se mewo cholera?,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Ɛdeɛn na ɛkyerɛ sɛ mewɔ cholera wo nim?,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Ɛdeɛn na ɛkyerɛ sɛ mewɔ cohlera?,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Ayamtuo ne afeɛ kyerɛ sɛ mewɔ cholera?,symptoms_query,"Aane, ayamtuo kɛseɛ a ɛte sɛ nsubɛn nsuo ne afeɛ a ɛnto mpa yɛ cholera nsenkyerɛne titiriw.","Yes, severe diarrhea that looks like rice-water and frequent vomiting are primary symptoms of cholera.",Ghana Ministry of Health
Ayamtuo ne afee kyere se mewo cholera?,symptoms_query,"Aane, ayamtuo kɛseɛ a ɛte sɛ nsubɛn nsuo ne afeɛ a ɛnto mpa yɛ cholera nsenkyerɛne titiriw.","Yes, severe diarrhea that looks like rice-water and frequent vomiting are primary symptoms of cholera.",Ghana Ministry of Health
