twi_query,cleaned_query,intent,twi_response,english_translation,source
Adokota de aduru ben de sa cholera?,adokota de aduru ben de sa cholera,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
"Yaa nua, ɛte sɛn nnɛ?",yaa nua ɛte sɛn nnɛ,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,Ghana NLP
"Se me ba no anya cholera mu den na mewo sika a entua ayaresabea ho a, den emye?",se me ba no anya cholera mu den na mewo sika a entua ayaresabea ho a den emye,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
ORS betumi ama me ba no san ynane?,ors betumi ama me ba no san ynane,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Ghana Health Service wo akwan bi a wode siw cholera kwan anaa?,ghana health service wo akwan bi a wode siw cholera kwan anaa,prevention_query,"Aane, Ghana Health Service yɛ apɔwmuden nkrataa, tu ɔmanfoɔ fo sɛ wɔnhohoro wɔn nsa, na wɔma vaccines wɔ mmeae a asiane wom.","Does the Ghana Health Service have ways to prevent cholera? Yes, the Ghana Health Service creates health campaigns, advises the public to wash hands, and provides vaccines in high-risk areas.",Ghana Health Service
"Sɛ dehydration aba a, ɛda adi sɛn wɔ obi ho?",sɛ dehydration aba a ɛda adi sɛn wɔ obi ho,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Mfifiseɛ betumi de cholera afiri beae a efi guom?,mfifiseɛ betumi de cholera afiri beae a efi guom,transmission_query,"Aane, mfifiseɛ bɔ efi ne atwene ho na wɔde mmoawa no gu yɛn nnuane so. Eyi nti yɛnkata nnuane so yie bere biara.","Can flies bring cholera from places where waste is dumped? Yes, flies visit waste and drains and then deposit the bacteria onto our food. Therefore, let us cover food well at all times.",WHO Ghana
"Sɛ me nsa kyere me me nan mu a, ɛdeɛn aduru na ɛbɛboa?",sɛ me nsa kyere me me nan mu a ɛdeɛn aduru na ɛbɛboa,treatment_query,Nom ORS nsuo ntɛm ara na kɔ clinic. Saa nsa kyere yi (muscle cramps) firi nsuo ne nkyene a ɛsa wɔ ho nti.,"If my hands and legs cramp, what medicine will help? Drink ORS water immediately and go to the clinic. These muscle cramps are due to the loss of water and salts from your body.",CDC
"Chatbot, boa me wo nim?",chatbot boa me wo nim,general_greeting,"Aane, mekrado sɛ mɛboa wo. Dɛn na ereha wo wɔ cholera ho? Bisa me na mebua wo.","Chatbot, help me! Yes, I am ready to help you. What is bothering you about cholera? Ask me and I will answer you.",Ghana NLP
Ghana Health Service de cholera vaccine ma daagya mu?,ghana health service de cholera vaccine ma daagya mu,prevention_query,"Aane, Ghana Health Service de Oral Cholera Vaccine ma adagya mu kwa wɔ mmeae a cholera yareɛ no atae asi na ama banbɔ.","Does the Ghana Health Service give cholera vaccine in the community? Yes, the Ghana Health Service provides the Oral Cholera Vaccine in communities for free in areas where the cholera disease breaks out to ensure protection.",Ghana Health Service
